ID,Name,Email,Company,Status,"Lead Score",Deals,"Total Value","Last Contact"
183,Lonzo,Arianna_Schimmel@yahoo.com,"Daniel Group",pending,2,1,4.00,2025-12-03
181,Alphonso,Jonathan.Kuhic38@hotmail.com,"Reilly, Haag and Boyle",pending,2,1,4.00,2025-12-03
180,"From The Auto-Mate",jane@demo.com,"The Auto-Mate",pending,90,2,25000.00,2025-11-08
179,Shaina,Brayan85@yahoo.com,"Rice - Beer",pending,2,1,4.00,2025-12-03
177,Liliana,Maxwell_Russel@hotmail.com,"Koch LLC",pending,2,1,4.00,2025-12-03
176,Antonette,Aubree84@hotmail.com,"Senger, Turcotte and Toy",pending,2,1,4.00,2025-12-03
175,Winifred,Eula.Lynch11@gmail.com,"Williamson and Sons",pending,2,1,4.00,2025-12-03
174,Kaitlin,Anika_Gulgowski33@yahoo.com,"Schowalter, Fritsch and Herman",pending,2,1,4.00,2025-12-03
173,sdf,dfsdfdf5@gmail.com,aad,active,1,1,1.00,2025-12-25
172,Deron,Keegan_Fritsch46@yahoo.com,"Raynor - McLaughlin",pending,2,1,4.00,2025-12-03
171,Anabelle,Devonte67@gmail.com,"Borer and Sons",pending,2,1,4.00,2025-12-03
170,Rex,Lionel_Robel91@yahoo.com,"Fisher - Willms",pending,2,1,4.00,2025-12-03
169,Ryann,Adan.Fritsch@gmail.com,"Dare, Wiza and Williamson",pending,2,1,4.00,2025-12-03
168,Onie,Maverick51@yahoo.com,"Friesen, Grady and Mayert",pending,2,1,4.00,2025-12-03
167,Tavares,Isabel.Mertz30@hotmail.com,"Sporer and Sons",pending,2,1,4.00,2025-12-03
166,Terrence,Darren.Barton-Rolfson59@yahoo.com,"Howe LLC",pending,2,1,4.00,2025-12-03
165,Frederique,Genoveva.Rippin@gmail.com,"Smith LLC",pending,2,1,4.00,2025-12-03
164,Kenneth,River57@yahoo.com,"Wilderman - Lehner",pending,2,1,4.00,2025-12-03
163,Ladarius,Jakob.Grady@yahoo.com,"Olson Inc",pending,2,1,4.00,2025-12-03
87,Automate,jane@demo.com,TechGrow,pending,0,29,275028.00,2025-12-03
